State,Abb,NPRStations,AllStations,PctNPR,Population,PopDensity,GDP,Conservative,Moderate,Liberal,,,,
Alabama,AL,12,372,0.0323,4822023.00,94.65,174400.00,49.00,30.00,17.00,,,,
Alaska,AK,29,150,0.1933,731449.00,1.264,45600.00,42.00,39.00,17.00,,,,
American Samoa,AS,0,11,0.0000,,914.0,,,,,,,,
Arizona,AZ,15,252,0.0595,6553255.00,57.05,261300.00,38.00,38.00,21.00,,,,
Arkansas,AR,5,319,0.0157,2949131.00,56.43,105800.00,45.00,37.00,15.00,,,,
California,CA,88,971,0.0906,38041430.00,241.7,1936400.00,33.00,39.00,23.00,,,,
Colorado,CO,31,333,0.0931,5187582.00,49.33,259700.00,37.00,33.00,27.00,,,,
Connecticut,CT,14,109,0.1284,3590347.00,739.1,233400.00,32.00,34.00,29.00,,,,
Delaware,DE,2,36,0.0556,917092.00,464.3,62700.00,29.00,45.00,21.00,,,,
District of Columbia,DC,2,20,0.1000,632323.00,"10,065",104700.00,17.00,38.00,42.00,,,,
Florida,FL,23,639,0.0360,19317568.00,353.4,754000.00,39.00,37.00,19.00,,,,
Georgia,GA,22,489,0.0450,9919945.00,169.5,403100.00,43.00,36.00,17.00,,,,
Guam,GU,1,19,0.0526,,830.0,,,,,,,,
Hawaii,HI,6,104,0.0577,1392313.00,214.1,68900.00,28.00,47.00,21.00,,,,
Idaho,ID,16,178,0.0899,1595728.00,19.15,54800.00,48.00,34.00,15.00,,,,
Illinois,IL,22,511,0.0431,12875255.00,231.5,644200.00,35.00,39.00,22.00,,,,
Indiana,IN,19,380,0.0500,6537334.00,181.7,267600.00,42.00,39.00,16.00,,,,
Iowa,IA,25,309,0.0809,3074186.00,54.81,147200.00,44.00,34.00,18.00,,,,
Kansas,KS,12,267,0.0449,2885905.00,35.09,128500.00,41.00,39.00,17.00,,,,
Kentucky,KY,14,381,0.0367,4380415.00,110.0,161400.00,42.00,36.00,19.00,,,,
Louisiana,LA,9,291,0.0309,4601893.00,105.0,213600.00,46.00,36.00,15.00,,,,
Maine,ME,7,136,0.0515,1329192.00,43.04,53200.00,35.00,40.00,23.00,,,,
Maryland,MD,12,136,0.0882,5884563.00,596.3,300000.00,32.00,40.00,24.00,,,,
Massachusetts,MA,21,221,0.0950,6646144.00,840.2,377700.00,30.00,40.00,28.00,,,,
Michigan,MI,29,491,0.0591,9883360.00,173.9,372400.00,38.00,39.00,20.00,,,,
Minnesota,MN,43,378,0.1138,5379139.00,67.14,267100.00,38.00,37.00,22.00,,,,
Mississippi,MS,12,291,0.0412,2984926.00,63.50,98900.00,53.00,32.00,11.00,,,,
Missouri,MO,13,404,0.0322,6021988.00,87.26,246700.00,43.00,36.00,17.00,,,,
Montana,MT,11,237,0.0464,1005141.00,6.858,37200.00,38.00,40.00,18.00,,,,
Nebraska,NE,11,194,0.0567,1855525.00,23.97,89600.00,46.00,35.00,16.00,,,,
Nevada,NV,9,120,0.0750,2758931.00,24.80,127500.00,39.00,41.00,17.00,,,,
New Hampshire,NH,8,109,0.0734,1320718.00,147.0,61600.00,38.00,36.00,24.00,,,,
New Jersey,NJ,17,146,0.1164,8864590.00,"1,189",497000.00,34.00,37.00,25.00,,,,
New Mexico,NM,10,239,0.0418,2085538.00,17.16,75500.00,40.00,35.00,21.00,,,,
New York,NY,68,606,0.1122,19570261.00,412.3,1156500.00,31.00,38.00,27.00,,,,
North Carolina,NC,27,474,0.0570,9752073.00,198.2,407400.00,43.00,37.00,16.00,,,,
North Dakota,ND,9,120,0.0750,699628.00,9.916,33400.00,49.00,37.00,10.00,,,,
Northern Marianas Islands,MP,0,10,0.0000,,63.8,,,,,,,,
Ohio,OH,31,479,0.0647,11544225.00,281.9,483400.00,40.00,37.00,19.00,,,,
Oklahoma,OK,16,273,0.0586,3814820.00,55.22,160500.00,46.00,34.00,16.00,,,,
Oregon,OR,41,342,0.1199,3899353.00,40.33,168900.00,33.00,39.00,26.00,,,,
Pennsylvania,PA,21,542,0.0387,12763536.00,284.3,575600.00,39.00,38.00,19.00,,,,
Puerto Rico,PR,17,131,0.1298,3667084.00,"1,082",,,,,,,,
Rhode Island,RI,4,40,0.1000,1050292.00,"1,006",49500.00,29.00,36.00,32.00,,,,
South Carolina,SC,9,269,0.0335,4723723.00,155.4,164300.00,46.00,33.00,17.00,,,,
South Dakota,SD,12,138,0.0870,833354.00,10.86,39900.00,50.00,33.00,13.00,,,,
Tennessee,TN,12,437,0.0275,6456243.00,155.4,250300.00,44.00,36.00,16.00,,,,
Texas,TX,33,1058,0.0312,26059203.00,98.07,1307432.00,43.00,35.00,18.00,,,,
Utah,UT,6,141,0.0426,2855287.00,916.9,116900.00,51.00,32.00,15.00,,,,
Vermont,VT,11,95,0.1158,626011.00,34.30,26400.00,33.00,36.00,29.00,,,,
Virginia,VA,29,381,0.0761,8185867.00,67.73,427700.00,38.00,39.00,19.00,,,,
Virgin Islands,VI,1,24,0.0417,,204.5,,,,,,,,
Washington,WA,27,335,0.0806,6897012.00,102.6,351100.00,33.00,38.00,25.00,,,,
West Virginia,WV,11,208,0.0529,1855413.00,77.06,66600.00,43.00,37.00,17.00,,,,
Wisconsin,WI,30,377,0.0796,5726398.00,105.2,251400.00,43.00,36.00,19.00,,,,
Wyoming,WY,18,184,0.0978,576412.00,5.851,38200.00,53.00,34.00,9.00,,,,
